stage_of_order,week,quantity
received,02-01-2023,100
shipped,02-01-2023,101
ordered,02-01-2023,102
received,09-01-2023,103
shipped,09-01-2023,104
ordered,09-01-2023,105
received,16-01-2023,106
shipped,16-01-2023,107
ordered,16-01-2023,108
received,23-01-2023,109
shipped,23-01-2023,110
ordered,23-01-2023,111
received,30-01-2023,112
shipped,30-01-2023,113
ordered,30-01-2023,114
received,06-02-2023,115
shipped,06-02-2023,116
ordered,06-02-2023,117
received,13-02-2023,118
shipped,13-02-2023,119
ordered,13-02-2023,120
received,20-02-2023,121
shipped,20-02-2023,122
ordered,20-02-2023,123
received,27-02-2023,124
shipped,27-02-2023,125
ordered,27-02-2023,126
received,06-03-2023,127
shipped,06-03-2023,128
ordered,06-03-2023,129
received,13-03-2023,130
shipped,13-03-2023,131
ordered,13-03-2023,132
received,20-03-2023,133
shipped,20-03-2023,134
ordered,20-03-2023,135
received,27-03-2023,136
shipped,27-03-2023,137
ordered,27-03-2023,138
received,03-04-2023,139
shipped,03-04-2023,140
ordered,03-04-2023,141
received,10-04-2023,142
shipped,10-04-2023,143
ordered,10-04-2023,144
received,17-04-2023,145
shipped,17-04-2023,146
ordered,17-04-2023,147
received,24-04-2023,148
shipped,24-04-2023,149
ordered,24-04-2023,100
received,01-05-2023,101
shipped,01-05-2023,102
ordered,01-05-2023,103
received,08-05-2023,104
shipped,08-05-2023,105
ordered,08-05-2023,106
received,15-05-2023,107
shipped,15-05-2023,108
ordered,15-05-2023,109
received,22-05-2023,110
shipped,22-05-2023,111
ordered,22-05-2023,112
received,29-05-2023,113
shipped,29-05-2023,114
ordered,29-05-2023,115
received,05-06-2023,116
shipped,05-06-2023,117
ordered,05-06-2023,118
received,12-06-2023,119
shipped,12-06-2023,120
ordered,12-06-2023,121
received,19-06-2023,122
shipped,19-06-2023,123
ordered,19-06-2023,124
received,26-06-2023,125
shipped,26-06-2023,126
ordered,26-06-2023,127
received,03-07-2023,128
shipped,03-07-2023,129
ordered,03-07-2023,130
received,10-07-2023,131
shipped,10-07-2023,132
ordered,10-07-2023,133
received,17-07-2023,134
shipped,17-07-2023,135
ordered,17-07-2023,136
received,24-07-2023,137
shipped,24-07-2023,138
ordered,24-07-2023,139
received,31-07-2023,140
shipped,31-07-2023,141
ordered,31-07-2023,142
received,07-08-2023,143
shipped,07-08-2023,144
ordered,07-08-2023,145
received,14-08-2023,146
shipped,14-08-2023,147
ordered,14-08-2023,148
received,21-08-2023,149
shipped,21-08-2023,100
ordered,21-08-2023,101
received,28-08-2023,102
shipped,28-08-2023,103
ordered,28-08-2023,104
received,04-09-2023,105
shipped,04-09-2023,106
ordered,04-09-2023,107
received,11-09-2023,108
shipped,11-09-2023,109
ordered,11-09-2023,110
received,18-09-2023,111
shipped,18-09-2023,112
ordered,18-09-2023,113
received,25-09-2023,114
shipped,25-09-2023,115
ordered,25-09-2023,116
received,02-10-2023,117
shipped,02-10-2023,118
ordered,02-10-2023,119
received,09-10-2023,120
shipped,09-10-2023,121
ordered,09-10-2023,122
received,16-10-2023,123
shipped,16-10-2023,124
ordered,16-10-2023,125
received,23-10-2023,126
shipped,23-10-2023,127
ordered,23-10-2023,128
received,30-10-2023,129
shipped,30-10-2023,130
ordered,30-10-2023,131
received,06-11-2023,132
shipped,06-11-2023,133
ordered,06-11-2023,134
received,13-11-2023,135
shipped,13-11-2023,136
ordered,13-11-2023,137
received,20-11-2023,138
shipped,20-11-2023,139
ordered,20-11-2023,140
received,27-11-2023,141
shipped,27-11-2023,142
ordered,27-11-2023,143
received,04-12-2023,144
shipped,04-12-2023,145
ordered,04-12-2023,146
received,11-12-2023,147
shipped,11-12-2023,148
ordered,11-12-2023,149
received,18-12-2023,100
shipped,18-12-2023,101
ordered,18-12-2023,102
received,25-12-2023,103
shipped,25-12-2023,104
ordered,25-12-2023,105
shipped,23-01-2023,110
ordered,13-02-2023,120
received,13-03-2023,130
